participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.individual_choice,player.assigned_mpcr,player.round_payoff,player.round_data,player.chosen_round,group.id_in_subsession,group.total_contribution,group.individual_share,group.start_timestamp,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
7,19qceazl,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,3,,,,10,zhu717bn,,,,,1
8,la2jujkr,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,3,,,,10,zhu717bn,,,,,1
9,gvj2m1kw,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,3,,,,10,zhu717bn,,,,,1
10,pp2wls61,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,4,,,,10,zhu717bn,,,,,1
11,m715rlor,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,4,,,,10,zhu717bn,,,,,1
12,rcvv32pz,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,4,,,,10,zhu717bn,,,,,1
13,qxpjc2yd,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,5,,,,10,zhu717bn,,,,,1
14,5yakra2e,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,5,,,,10,zhu717bn,,,,,1
15,dpsqhmx7,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,5,,,,10,zhu717bn,,,,,1
16,kjjnadon,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,6,,,,10,zhu717bn,,,,,1
17,8x8ohb6w,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,6,,,,10,zhu717bn,,,,,1
18,woh535ri,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,6,,,,10,zhu717bn,,,,,1
19,6ar2g03d,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,7,,,,10,zhu717bn,,,,,1
20,l30j66ao,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,7,,,,10,zhu717bn,,,,,1
21,jy8zyux7,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,7,,,,10,zhu717bn,,,,,1
22,p6bn1gor,,0,0,139,,,,0,,,0.0,1,,0.0,0,,,[],,8,,,,10,zhu717bn,,,,,1
23,ro69sc23,,0,0,139,,,,0,,,0.0,2,,0.0,0,,,[],,8,,,,10,zhu717bn,,,,,1
24,m5u7w0rs,,0,0,139,,,,0,,,0.0,3,,0.0,0,,,[],,8,,,,10,zhu717bn,,,,,1
1,nc1yr5gk,SUB01,0,139,139,q,final,2025-10-29 04:31:19.962175,1,,,2617.0,1,,0.0,10,0.75,13.5,[],,7,18.0,,1761714563,1,zi1lugjp,,,,,0
2,524vcf1w,SUB02,0,139,139,q,final,2025-10-29 04:31:20.043812,1,,,1408.0,1,,0.0,5,0.6,12.2,[],,5,12.0,,1761714563,1,zi1lugjp,,,,,0
3,0xmvdwfg,SUB03,0,139,139,q,final,2025-10-29 04:31:20.115776,1,,,1620.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1761714563,1,zi1lugjp,,,,,0
4,tymwjvve,SUB04,0,139,139,q,final,2025-10-29 04:31:20.280320,1,,,1500.0,1,,0.0,5,0.6,14.6,[],,1,16.0,,1761714563,1,zi1lugjp,,,,,0
5,8fqhtbmw,SUB06,0,139,139,q,final,2025-10-29 04:31:20.526564,1,,,2242.0,3,,0.0,10,0.675,18.9,[],,6,28.0,,1761714563,1,zi1lugjp,,,,,0
6,qqoht1v0,SUB05,0,139,139,q,final,2025-10-29 04:31:20.566994,1,,,1475.0,2,,0.0,10,0.675,16.875,[],,3,25.0,,1761714563,1,zi1lugjp,,,,,0
7,ell5zamz,SUB07,0,139,139,q,final,2025-10-29 04:31:20.633797,1,,,2852.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1761714563,1,zi1lugjp,,,,,0
8,h1y0k28y,SUB08,0,139,139,q,final,2025-10-29 04:31:20.819407,1,,,1500.0,3,,0.0,6,0.75,13.0,[],,5,12.0,,1761714563,1,zi1lugjp,,,,,0
9,1z4s9442,SUB10,0,139,139,q,final,2025-10-29 04:31:21.012550,1,,,2497.0,1,,0.0,5,0.525,15.5,[],,8,20.0,,1761714563,1,zi1lugjp,,,,,0
10,ch92vp8j,SUB09,0,139,139,q,final,2025-10-29 04:31:21.027720,1,,,1680.0,3,,0.0,10,0.75,15.0,[],,8,20.0,,1761714563,1,zi1lugjp,,,,,0
11,55hd59uy,SUB11,0,139,139,q,final,2025-10-29 04:31:21.046652,1,,,2767.0,3,,0.0,10,0.75,12.0,[],,1,16.0,,1761714563,1,zi1lugjp,,,,,0
12,fa645btg,SUB12,0,139,139,q,final,2025-10-29 04:31:21.265275,1,,,1025.0,1,,0.0,8,0.45,14.6,[],,6,28.0,,1761714563,1,zi1lugjp,,,,,0
13,fh1wn5l9,SUB13,0,139,139,q,final,2025-10-29 04:31:21.472358,1,,,1600.0,2,,0.0,10,0.675,18.9,[],,6,28.0,,1761714563,1,zi1lugjp,,,,,0
14,292kkvw7,SUB15,0,139,139,q,final,2025-10-29 04:31:21.575267,1,,,2695.0,2,,0.0,1,0.45,16.2,[],,1,16.0,,1761714563,1,zi1lugjp,,,,,0
15,hji2jo85,SUB14,0,139,139,q,final,2025-10-29 04:31:21.615497,1,,,2907.0,3,,0.0,10,0.675,16.875,[],,3,25.0,,1761714563,1,zi1lugjp,,,,,0
16,ejwndzb9,SUB16,0,139,139,q,final,2025-10-29 04:31:21.819108,1,,,1535.0,1,,0.0,5,0.45,16.25,[],,3,25.0,,1761714563,1,zi1lugjp,,,,,0
17,9bp7wmzi,SUB18,0,139,139,q,final,2025-10-29 04:31:21.934491,1,,,1700.0,2,,0.0,4,0.525,15.45,[],,7,18.0,,1761714563,1,zi1lugjp,,,,,0
18,dvcw7n97,SUB17,0,139,139,q,final,2025-10-29 04:31:21.975890,1,,,2400.0,3,,0.0,4,0.525,15.45,[],,7,18.0,,1761714563,1,zi1lugjp,,,,,0
19,emlvkt6w,SUB19,0,139,139,q,final,2025-10-29 04:31:22.194967,1,,,2797.0,3,,0.0,2,0.525,15.35,[],,2,14.0,,1761714563,1,zi1lugjp,,,,,0
20,mtmffgdo,SUB21,0,139,139,q,final,2025-10-29 04:31:22.253295,1,,,2045.0,1,,0.0,2,0.525,15.35,[],,2,14.0,,1761714563,1,zi1lugjp,,,,,0
21,dk3oclft,SUB22,0,139,139,q,final,2025-10-29 04:31:22.315256,1,,,2300.0,2,,0.0,10,0.75,10.5,[],,2,14.0,,1761714563,1,zi1lugjp,,,,,0
22,a9uz1dw8,SUB20,0,139,139,q,final,2025-10-29 04:31:22.357665,1,,,2840.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1761714563,1,zi1lugjp,,,,,0
23,idxxs543,SUB24,0,139,139,q,final,2025-10-29 04:31:22.391467,1,,,1840.0,2,,0.0,5,0.525,15.5,[],,8,20.0,,1761714563,1,zi1lugjp,,,,,0
24,1jai327i,SUB23,0,139,139,q,final,2025-10-29 04:31:22.456155,1,,,2040.0,2,,0.0,1,0.45,14.4,[],,5,12.0,,1761714563,1,zi1lugjp,,,,,0
1,nc1yr5gk,SUB01,0,139,139,q,final,2025-10-29 04:31:19.962175,1,,,2617.0,1,,0.0,10,0.6,18.0,[],,2,30.0,,1761714656,2,zi1lugjp,,,,,0
2,524vcf1w,SUB02,0,139,139,q,final,2025-10-29 04:31:20.043812,1,,,1408.0,3,,0.0,4,0.6,16.2,[],,5,17.0,,1761714655,2,zi1lugjp,,,,,0
3,0xmvdwfg,SUB03,0,139,139,q,final,2025-10-29 04:31:20.115776,1,,,1620.0,2,,0.0,10,0.6,18.0,[],,4,30.0,,1761714656,2,zi1lugjp,,,,,0
4,tymwjvve,SUB04,0,139,139,q,final,2025-10-29 04:31:20.280320,1,,,1500.0,1,,0.0,5,0.75,12.5,[],,1,10.0,,1761714655,2,zi1lugjp,,,,,0
5,8fqhtbmw,SUB06,0,139,139,q,final,2025-10-29 04:31:20.526564,1,,,2242.0,3,,0.0,10,0.6,18.0,[],,2,30.0,,1761714656,2,zi1lugjp,,,,,0
6,qqoht1v0,SUB05,0,139,139,q,final,2025-10-29 04:31:20.566994,1,,,1475.0,1,,0.0,10,0.75,12.75,[],,5,17.0,,1761714655,2,zi1lugjp,,,,,0
7,ell5zamz,SUB07,0,139,139,q,final,2025-10-29 04:31:20.633797,1,,,2852.0,2,,0.0,10,0.6,18.0,[],,2,30.0,,1761714656,2,zi1lugjp,,,,,0
8,h1y0k28y,SUB08,0,139,139,q,final,2025-10-29 04:31:20.819407,1,,,1500.0,2,,0.0,5,0.6,16.4,[],,8,19.0,,1761714656,2,zi1lugjp,,,,,0
9,1z4s9442,SUB10,0,139,139,q,final,2025-10-29 04:31:21.012550,1,,,2497.0,2,,0.0,7,0.6,13.2,[],,6,17.0,,1761714655,2,zi1lugjp,,,,,0
10,ch92vp8j,SUB09,0,139,139,q,final,2025-10-29 04:31:21.027720,1,,,1680.0,2,,0.0,3,0.45,14.65,[],,5,17.0,,1761714655,2,zi1lugjp,,,,,0
11,55hd59uy,SUB11,0,139,139,q,final,2025-10-29 04:31:21.046652,1,,,2767.0,3,,0.0,10,0.75,15.0,[],,7,20.0,,1761714656,2,zi1lugjp,,,,,0
12,fa645btg,SUB12,0,139,139,q,final,2025-10-29 04:31:21.265275,1,,,1025.0,1,,0.0,10,0.6,18.0,[],,4,30.0,,1761714656,2,zi1lugjp,,,,,0
13,fh1wn5l9,SUB13,0,139,139,q,final,2025-10-29 04:31:21.472358,1,,,1600.0,3,,0.0,10,0.6,18.0,[],,4,30.0,,1761714656,2,zi1lugjp,,,,,0
14,292kkvw7,SUB15,0,139,139,q,final,2025-10-29 04:31:21.575267,1,,,2695.0,1,,0.0,1,0.45,16.65,[],,6,17.0,,1761714655,2,zi1lugjp,,,,,0
15,hji2jo85,SUB14,0,139,139,q,final,2025-10-29 04:31:21.615497,1,,,2907.0,3,,0.0,10,0.75,14.25,[],,8,19.0,,1761714656,2,zi1lugjp,,,,,0
16,ejwndzb9,SUB16,0,139,139,q,final,2025-10-29 04:31:21.819108,1,,,1535.0,2,,0.0,5,0.525,15.5,[],,7,20.0,,1761714656,2,zi1lugjp,,,,,0
17,9bp7wmzi,SUB18,0,139,139,q,final,2025-10-29 04:31:21.934491,1,,,1700.0,2,,0.0,10,0.75,10.5,[],,3,14.0,,1761714656,2,zi1lugjp,,,,,0
18,dvcw7n97,SUB17,0,139,139,q,final,2025-10-29 04:31:21.975890,1,,,2400.0,1,,0.0,5,0.525,15.5,[],,7,20.0,,1761714656,2,zi1lugjp,,,,,0
19,emlvkt6w,SUB19,0,139,139,q,final,2025-10-29 04:31:22.194967,1,,,2797.0,3,,0.0,2,0.525,15.35,[],,3,14.0,,1761714656,2,zi1lugjp,,,,,0
20,mtmffgdo,SUB21,0,139,139,q,final,2025-10-29 04:31:22.253295,1,,,2045.0,1,,0.0,4,0.45,14.55,[],,8,19.0,,1761714656,2,zi1lugjp,,,,,0
21,dk3oclft,SUB22,0,139,139,q,final,2025-10-29 04:31:22.315256,1,,,2300.0,3,,0.0,9,0.75,13.75,[],,6,17.0,,1761714655,2,zi1lugjp,,,,,0
22,a9uz1dw8,SUB20,0,139,139,q,final,2025-10-29 04:31:22.357665,1,,,2840.0,2,,0.0,3,0.6,13.0,[],,1,10.0,,1761714655,2,zi1lugjp,,,,,0
23,idxxs543,SUB24,0,139,139,q,final,2025-10-29 04:31:22.391467,1,,,1840.0,3,,0.0,2,0.45,12.5,[],,1,10.0,,1761714655,2,zi1lugjp,,,,,0
24,1jai327i,SUB23,0,139,139,q,final,2025-10-29 04:31:22.456155,1,,,2040.0,1,,0.0,2,0.525,15.35,[],,3,14.0,,1761714656,2,zi1lugjp,,,,,0
1,nc1yr5gk,SUB01,0,139,139,q,final,2025-10-29 04:31:19.962175,1,,,2617.0,3,,0.0,10,0.675,16.2,[],,5,24.0,,1761714722,3,zi1lugjp,,,,,0
2,524vcf1w,SUB02,0,139,139,q,final,2025-10-29 04:31:20.043812,1,,,1408.0,2,,0.0,4,0.675,12.75,[],,6,10.0,,1761714722,3,zi1lugjp,,,,,0
3,0xmvdwfg,SUB03,0,139,139,q,final,2025-10-29 04:31:20.115776,1,,,1620.0,2,,0.0,10,0.675,17.55,[],,4,26.0,,1761714722,3,zi1lugjp,,,,,0
4,tymwjvve,SUB04,0,139,139,q,final,2025-10-29 04:31:20.280320,1,,,1500.0,3,,0.0,5,0.675,14.45,[],,3,14.0,,1761714722,3,zi1lugjp,,,,,0
5,8fqhtbmw,SUB06,0,139,139,q,final,2025-10-29 04:31:20.526564,1,,,2242.0,1,,0.0,10,0.675,16.875,[],,8,25.0,,1761714722,3,zi1lugjp,,,,,0
6,qqoht1v0,SUB05,0,139,139,q,final,2025-10-29 04:31:20.566994,1,,,1475.0,2,,0.0,10,0.75,13.5,[],,7,18.0,,1761714722,3,zi1lugjp,,,,,0
7,ell5zamz,SUB07,0,139,139,q,final,2025-10-29 04:31:20.633797,1,,,2852.0,3,,0.0,10,0.675,17.55,[],,4,26.0,,1761714722,3,zi1lugjp,,,,,0
8,h1y0k28y,SUB08,0,139,139,q,final,2025-10-29 04:31:20.819407,1,,,1500.0,3,,0.0,2,0.45,12.5,[],,6,10.0,,1761714722,3,zi1lugjp,,,,,0
9,1z4s9442,SUB10,0,139,139,q,final,2025-10-29 04:31:21.012550,1,,,2497.0,1,,0.0,4,0.45,12.3,[],,3,14.0,,1761714722,3,zi1lugjp,,,,,0
10,ch92vp8j,SUB09,0,139,139,q,final,2025-10-29 04:31:21.027720,1,,,1680.0,1,,0.0,6,0.6,14.8,[],,7,18.0,,1761714722,3,zi1lugjp,,,,,0
11,55hd59uy,SUB11,0,139,139,q,final,2025-10-29 04:31:21.046652,1,,,2767.0,2,,0.0,10,0.675,14.175,[],,1,21.0,,1761714723,3,zi1lugjp,,,,,0
12,fa645btg,SUB12,0,139,139,q,final,2025-10-29 04:31:21.265275,1,,,1025.0,3,,0.0,10,0.675,16.875,[],,8,25.0,,1761714722,3,zi1lugjp,,,,,0
13,fh1wn5l9,SUB13,0,139,139,q,final,2025-10-29 04:31:21.472358,1,,,1600.0,2,,0.0,10,0.675,16.875,[],,2,25.0,,1761714722,3,zi1lugjp,,,,,0
14,292kkvw7,SUB15,0,139,139,q,final,2025-10-29 04:31:21.575267,1,,,2695.0,3,,0.0,1,0.45,18.45,[],,1,21.0,,1761714723,3,zi1lugjp,,,,,0
15,hji2jo85,SUB14,0,139,139,q,final,2025-10-29 04:31:21.615497,1,,,2907.0,2,,0.0,10,0.675,16.2,[],,5,24.0,,1761714722,3,zi1lugjp,,,,,0
16,ejwndzb9,SUB16,0,139,139,q,final,2025-10-29 04:31:21.819108,1,,,1535.0,3,,0.0,5,0.45,16.25,[],,2,25.0,,1761714722,3,zi1lugjp,,,,,0
17,9bp7wmzi,SUB18,0,139,139,q,final,2025-10-29 04:31:21.934491,1,,,1700.0,1,,0.0,4,0.45,16.8,[],,5,24.0,,1761714722,3,zi1lugjp,,,,,0
18,dvcw7n97,SUB17,0,139,139,q,final,2025-10-29 04:31:21.975890,1,,,2400.0,2,,0.0,5,0.45,16.25,[],,8,25.0,,1761714722,3,zi1lugjp,,,,,0
19,emlvkt6w,SUB19,0,139,139,q,final,2025-10-29 04:31:22.194967,1,,,2797.0,3,,0.0,2,0.45,16.1,[],,7,18.0,,1761714722,3,zi1lugjp,,,,,0
20,mtmffgdo,SUB21,0,139,139,q,final,2025-10-29 04:31:22.253295,1,,,2045.0,2,,0.0,5,0.675,14.45,[],,3,14.0,,1761714722,3,zi1lugjp,,,,,0
21,dk3oclft,SUB22,0,139,139,q,final,2025-10-29 04:31:22.315256,1,,,2300.0,1,,0.0,10,0.675,14.175,[],,1,21.0,,1761714723,3,zi1lugjp,,,,,0
22,a9uz1dw8,SUB20,0,139,139,q,final,2025-10-29 04:31:22.357665,1,,,2840.0,1,,0.0,4,0.675,12.75,[],,6,10.0,,1761714722,3,zi1lugjp,,,,,0
23,idxxs543,SUB24,0,139,139,q,final,2025-10-29 04:31:22.391467,1,,,1840.0,1,,0.0,10,0.675,16.875,[],,2,25.0,,1761714722,3,zi1lugjp,,,,,0
