participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.select_num,player.select_num_AB_list,player.db_ban_optA_self,player.db_ban_optA_other,player.db_ban_optB_self,player.db_ban_optB_other,player.db_sc_jibun,player.db_sc_aite,group.id_in_subsession,group.g_db_ban,group.g_db_cr,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,10,20,2,1,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,1,,0.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,11,1,2,1,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,11,1,2,1,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,1,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,12,22,1,1,3l53yrzn,,,,,0
24,ipqxkdwj,SUB23,0,139,139,q,final,2025-11-05 01:34:17.959461,1,,,2840.0,2,,0.0,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",,,,,,,12,22,1,1,3l53yrzn,,,,,0
1,eoqabyj7,SUB01,0,139,139,q,final,2025-11-05 01:34:15.074014,1,,,3067.0,1,,1267.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1267,360,1267,200,1267,360,1,8,2,2,3l53yrzn,,,,,0
2,uksq7auo,SUB03,0,139,139,q,final,2025-11-05 01:34:15.354032,1,,,2160.0,2,,360.0,17,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1267,360,1267,200,1267,360,1,8,2,2,3l53yrzn,,,,,0
3,4fkx77ms,SUB02,0,139,139,q,final,2025-11-05 01:34:15.578318,1,,,2300.0,1,,500.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",500,600,400,1040,500,600,2,6,1,2,3l53yrzn,,,,,0
4,ftl5bwym,SUB05,0,139,139,q,final,2025-11-05 01:34:15.647570,1,,,2400.0,2,,600.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",500,600,400,1040,500,600,2,6,1,2,3l53yrzn,,,,,0
5,uupltivp,SUB06,0,139,139,q,final,2025-11-05 01:34:15.672011,1,,,3067.0,1,,1267.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",814,360,1267,200,1267,200,3,27,2,2,3l53yrzn,,,,,0
6,9c2l7wy6,SUB04,0,139,139,q,final,2025-11-05 01:34:16.029315,1,,,2000.0,2,,200.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",814,360,1267,200,1267,200,3,27,2,2,3l53yrzn,,,,,0
7,lohs1j6r,SUB07,0,139,139,q,final,2025-11-05 01:34:16.159485,1,,,3067.0,1,,1267.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1247,360,1267,200,1267,200,4,9,2,2,3l53yrzn,,,,,0
8,9a0bijfx,SUB08,0,139,139,q,final,2025-11-05 01:34:16.291400,1,,,1800.0,2,,200.0,12,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1247,360,1267,200,1267,200,4,9,2,2,3l53yrzn,,,,,0
9,rlzifwqr,SUB10,0,139,139,q,final,2025-11-05 01:34:16.393074,1,,,3147.0,1,,1347.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1347,360,1267,200,1347,360,5,4,2,2,3l53yrzn,,,,,0
10,1yjy0byt,SUB11,0,139,139,q,final,2025-11-05 01:34:16.608181,1,,,2160.0,2,,360.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1347,360,1267,200,1347,360,5,4,2,2,3l53yrzn,,,,,0
11,h37e76fb,SUB13,0,139,139,q,final,2025-11-05 01:34:16.821054,1,,,3067.0,1,,1267.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1247,360,1267,200,1267,200,6,9,2,2,3l53yrzn,,,,,0
12,3ap1l500,SUB09,0,139,139,q,final,2025-11-05 01:34:16.834284,1,,,2300.0,2,,200.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1247,360,1267,200,1267,200,6,9,2,2,3l53yrzn,,,,,0
13,bz7qn3h8,SUB14,0,139,139,q,final,2025-11-05 01:34:16.889912,1,,,3167.0,1,,1367.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1367,360,1267,200,1367,360,7,3,2,2,3l53yrzn,,,,,0
14,pbbjtbny,SUB12,0,139,139,q,final,2025-11-05 01:34:16.959550,1,,,2160.0,2,,360.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1367,360,1267,200,1367,360,7,3,2,2,3l53yrzn,,,,,0
15,qhwjda1v,SUB15,0,139,139,q,final,2025-11-05 01:34:17.091695,1,,,2237.0,1,,1267.0,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",360,360,1267,200,1267,200,8,31,2,2,3l53yrzn,,,,,0
16,3ttjpmu8,SUB17,0,139,139,q,final,2025-11-05 01:34:17.383962,1,,,2000.0,2,,200.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",360,360,1267,200,1267,200,8,31,2,2,3l53yrzn,,,,,0
17,lrhgkzbl,SUB16,0,139,139,q,final,2025-11-05 01:34:17.542182,1,,,2400.0,1,,600.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",600,600,400,1040,600,600,9,1,1,2,3l53yrzn,,,,,0
18,1s2tlr4i,SUB18,0,139,139,q,final,2025-11-05 01:34:17.695992,1,,,2700.0,2,,600.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",600,600,400,1040,600,600,9,1,1,2,3l53yrzn,,,,,0
19,k27jrc48,SUB19,0,139,139,q,final,2025-11-05 01:34:17.744570,1,,,2200.0,1,,400.0,14,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",240,600,400,1040,400,1040,10,19,1,2,3l53yrzn,,,,,0
20,g895v2j1,SUB21,0,139,139,q,final,2025-11-05 01:34:17.841176,1,,,2840.0,2,,1040.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",240,600,400,1040,400,1040,10,19,1,2,3l53yrzn,,,,,0
21,sahpj75t,SUB22,0,139,139,q,final,2025-11-05 01:34:17.850137,1,,,3067.0,1,,1267.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1067,360,1267,200,1267,200,11,18,2,2,3l53yrzn,,,,,0
22,sbt1p89r,SUB20,0,139,139,q,final,2025-11-05 01:34:17.864551,1,,,2000.0,2,,200.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",1067,360,1267,200,1267,200,11,18,2,2,3l53yrzn,,,,,0
23,7lu9cwhp,SUB24,0,139,139,q,final,2025-11-05 01:34:17.875243,1,,,2200.0,1,,400.0,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",80,600,400,1040,400,1040,12,27,1,2,3l53yrzn,,,,,0
24,ipqxkdwj,SUB23,0,139,139,q,final,2025-11-05 01:34:17.959461,1,,,2840.0,2,,1040.0,19,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",80,600,400,1040,400,1040,12,27,1,2,3l53yrzn,,,,,0
